id,sla,overdue,x,y,type
101001125409,7.0,0.84,3124398.33,13881930.31,3.0
11663465-101001090530,1.0,-0.87,3123534.59,13824001.39,3.0
101001214717,10.0,-7.07,3064343.79603,13846323.35805,3.0
11658417-101001076604,2.0,-1.29,3109263.06,13908498.66,3.0
101001138271,4.0,-2.96,3120772.47,13816268.02,3.0
278019-101001024606,176.0,-110.66,3123220.1,13792879.84,3.0
11681596-101001139837,35.0,-34.88,3074972.05,13802137.08,3.0
101001153621,21.0,-20.95,3134261.23559,13829541.497580003,3.0
101001076703,9.0,9.93,3166581.77,13781148.84,3.0
101001195547,4.0,-2.11,3103407.26942,13841890.267180003,3.0
11716482-101001233578,20.0,-18.15,3093437.83135,13795197.9708,3.0
11626867-101000979868,1.0,-0.35,3143851.63,13884917.44,3.0
101001069497,29.0,-28.01,3122596.93,13821286.05,3.0
11622379-101000966482,1.0,0.09,3105213.61,13848339.38,3.0
11605280-101000916463,7.0,-6.59,3084095.45,13812991.74,3.0
15090-101001068436,180.0,77.24,3130302.67747,13844302.65121,2.0
0-101001141371,180.0,-153.2,3130759.48768,13838972.90417,2.0
101001032027,4.0,-2.96,3094536.82,13809651.65,3.0
809267-101000990123,25.0,9.31,3103788.45,13831904.34,3.0
11665108-101001094720,20.0,-5.74,3133998.28,13872549.56,3.0
0-101001218183,180.0,-203.75,3118034.39502,13872957.25655,3.0
11618526-101000954455,35.0,-32.24,3123898.69,13816888.07,3.0
101000932240,10.0,-7.11,3131381.61,13811141.42,3.0
11592667-101000886235,2.0,-1.61,3132561.97,13807679.43,3.0
101001088932,10.0,-9.9,3122745.25,13805996.11,3.0
101001221900,29.0,-28.14,3082896.93741,13779639.986819997,3.0
11638238-101001014699,1.0,-0.17,3054778.39,13803317.87,3.0
287656-101001177331,180.0,35.14,3133443.93244,13854504.82856,3.0
101001005117,10.0,-9.01,3083892.91,13793248.19,3.0
101000912270,7.0,-3.88,3165894.31,13849659.86,3.0
101001063426,180.0,472.32,3135068.66,13825381.96,3.0
11674629-101001121257,14.0,-13.26,3108019.05,13875960.2,3.0
11657866-101001075180,40.0,-36.46,3085780.93,13805250.26,3.0
11587531-101000874642,45.0,-44.96,3091720.24,13881889.25,0.0
11638095-101001014078,21.0,4.41,3136252.35,13856258.28,3.0
11656975-101001072528,15.0,-14.96,3099673.86,13833782.41,3.0
11631526-101000992373,14.0,-13.4,3095176.09,13808769.79,3.0
11660123-101001081957,30.0,-28.88,3144679.21,13832252.98,3.0
0-101000967581,25.0,97.33,3146142.83,13805476.46,3.0
101001213266,1.0,-2.8,3094525.44007,13836028.73428,3.0
101001029788,4.0,-3.69,3095809.8,13881443.84,3.0
101001135003,21.0,-20.11,3135345.48,13809254.86,3.0
11606556-101000919586,15.0,-8.98,3110144.09,13797517.74,3.0
11639673-101001019524,14.0,-13.97,3116538.83,13821058.39,3.0
11597176-101000896233,14.0,-13.72,3115637.78,13828475.75,3.0
15306-101001070306,1.0,-2.73,3116863.6919,13870475.992819998,2.0
11643387-101001032173,35.0,-33.02,3067530.44,13858698.2,3.0
101001166649,10.0,-5.93,3060261.733,13846886.05673,3.0
